 variables = "x", "y", "z", "rhoi", "vxi", "vyi", "vzi", "pi", "tracei", "rhoe",
  "vxe", "vye",   "vze", "pe", "tracee", "bx", "by", "bz", "ex", "ey", "ez", "co
 rpotB", "corpotE", "rhoiRe", "rhoiIm", "mxiRe", "mxiIm", "myiRe", "myiIm", "mzi
 Re", "mziIm", "ergiRe", "ergiIm", "rhoeRe", "rhoeIm", "mxeRe", "mxeIm", "myeRe"
 , "myeIm", "mzeRe", "mzeIm", "ergeRe", "ergeIm", "bxRe", "bxIm", "byRe" "byIm",
  "bzRe", "bzIm", "exRe", "exIm", "eyRe", "eyIm", "ezRe", "ezIm"
 zone i =         4000  j =            1  k =            1  f = point
 -.995250E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999776E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999776E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.199968E-0022 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.142446E-0005 -.142446E-0005 0.155827E-0006 0.155827E-0006 0.311675E-0006 -.311675E-0006 0.707412E-0008 -.707412E-0008 0.475428E-0006 0.475428E-0006 -.145855E-0007 -.145855E-0007 0.266217E-0008 0.266217E-0008 0.242245E-0008 -.242245E-0008 -.649189E-0008 0.649189E-0008 0.310804E-0006 0.310804E-0006 0.104470E-0007 0.104470E-0007 -.359970E-0010 0.359970E-0010 -.175457E-0008 0.175457E-0008 -.122924E-0009 -.122924E-0009 0.590454E-0007 -.590454E-0007 0.840448E-0010 -.840448E-0010
 -.994750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999754E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999754E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.722039E-0022 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.171950E-0005 -.171950E-0005 0.188013E-0006 0.188013E-0006 0.375847E-0006 -.375847E-0006 0.898909E-0008 -.898909E-0008 0.573759E-0006 0.573759E-0006 -.176082E-0007 -.176082E-0007 0.347620E-0008 0.347620E-0008 0.291809E-0008 -.291809E-0008 -.836371E-0008 0.836371E-0008 0.374925E-0006 0.374925E-0006 0.134571E-0007 0.134571E-0007 -.510533E-0010 0.510533E-0010 -.253714E-0008 0.253714E-0008 -.165117E-0009 -.165117E-0009 0.714920E-0007 -.714920E-0007 0.101315E-0009 -.101315E-0009
 -.994250E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999732E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999732E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.231435E-0021 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.203833E-0005 -.203833E-0005 0.222766E-0006 0.222766E-0006 0.445088E-0006 -.445088E-0006 0.111815E-0007 -.111815E-0007 0.679960E-0006 0.679960E-0006 -.208752E-0007 -.208752E-0007 0.445142E-0008 0.445142E-0008 0.345161E-0008 -.345161E-0008 -.105457E-0007 0.105457E-0007 0.444144E-0006 0.444144E-0006 0.169654E-0007 0.169654E-0007 -.703104E-0010 0.703104E-0010 -.353527E-0008 0.353527E-0008 -.215525E-0009 -.215525E-0009 0.850055E-0007 -.850055E-0007 0.119939E-0009 -.119939E-0009
 -.993750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999710E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999710E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.669683E-0021 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.238006E-0005 -.238006E-0005 0.259980E-0006 0.259980E-0006 0.519189E-0006 -.519189E-0006 0.136611E-0007 -.136611E-0007 0.793718E-0006 0.793718E-0006 -.243774E-0007 -.243774E-0007 0.560647E-0008 0.560647E-0008 0.402107E-0008 -.402107E-0008 -.130590E-0007 0.130590E-0007 0.518256E-0006 0.518256E-0006 0.210056E-0007 0.210056E-0007 -.944893E-0010 0.944893E-0010 -.478002E-0008 0.478002E-0008 -.274786E-0009 -.274786E-0009 0.995580E-0007 -.995580E-0007 0.139852E-0009 -.139852E-0009
 -.993250E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999689E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999689E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.177381E-0020 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.274384E-0005 -.274384E-0005 0.299556E-0006 0.299556E-0006 0.597950E-0006 -.597950E-0006 0.164369E-0007 -.164369E-0007 0.914727E-0006 0.914727E-0006 -.281060E-0007 -.281060E-0007 0.696088E-0008 0.696088E-0008 0.462454E-0008 -.462454E-0008 -.159247E-0007 0.159247E-0007 0.597062E-0006 0.597062E-0006 0.256114E-0007 0.256114E-0007 -.124393E-0009 0.124393E-0009 -.630407E-0008 0.630407E-0008 -.342971E-0009 -.342971E-0009 0.115123E-0006 -.115123E-0006 0.160906E-0009 -.160906E-0009
 -.992750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999668E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999668E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.435225E-0020 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.312883E-0005 -.312883E-0005 0.341396E-0006 0.341396E-0006 0.681179E-0006 -.681179E-0006 0.195162E-0007 -.195162E-0007 0.104269E-0005 0.104269E-0005 -.320528E-0007 -.320528E-0007 0.853509E-0008 0.853509E-0008 0.526011E-0008 -.526011E-0008 -.191644E-0007 0.191644E-0007 0.680371E-0006 0.680371E-0006 0.308172E-0007 0.308172E-0007 -.160910E-0009 0.160910E-0009 -.814199E-0008 0.814199E-0008 -.419773E-0009 -.419773E-0009 0.131675E-0006 -.131675E-0006 0.182728E-0009 -.182728E-0009
 -.992250E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999647E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999647E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.999776E-0020 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.353425E-0005 -.353425E-0005 0.385405E-0006 0.385405E-0006 0.768692E-0006 -.768692E-0006 0.229058E-0007 -.229058E-0007 0.117732E-0005 0.117732E-0005 -.362095E-0007 -.362095E-0007 0.103503E-0007 0.103503E-0007 0.592592E-0008 -.592592E-0008 -.227994E-0007 0.227994E-0007 0.767998E-0006 0.767998E-0006 0.366585E-0007 0.366585E-0007 -.205208E-0009 0.205208E-0009 -.103299E-0007 0.103299E-0007 -.504444E-0009 -.504444E-0009 0.149189E-0006 -.149189E-0006 0.205280E-0009 -.205280E-0009
 -.991750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999626E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999626E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.217132E-0019 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.395932E-0005 -.395932E-0005 0.431488E-0006 0.431488E-0006 0.860312E-0006 -.860312E-0006 0.266110E-0007 -.266110E-0007 0.131834E-0005 0.131834E-0005 -.405685E-0007 -.405685E-0007 0.124281E-0007 0.124281E-0007 0.662013E-0008 -.662013E-0008 -.268515E-0007 0.268515E-0007 0.859768E-0006 0.859768E-0006 0.431704E-0007 0.431704E-0007 -.258243E-0009 0.258243E-0009 -.129087E-0007 0.129087E-0007 -.594601E-0009 -.594601E-0009 0.167643E-0006 -.167643E-0006 0.230300E-0009 -.230300E-0009
 -.991250E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999606E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999606E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.449966E-0019 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.440332E-0005 -.440332E-0005 0.479552E-0006 0.479552E-0006 0.955869E-0006 -.955869E-0006 0.306366E-0007 -.306366E-0007 0.146544E-0005 0.146544E-0005 -.451221E-0007 -.451221E-0007 0.147896E-0007 0.147896E-0007 0.734092E-0008 -.734092E-0008 -.313424E-0007 0.313424E-0007 0.955521E-0006 0.955521E-0006 0.503848E-0007 0.503848E-0007 -.321297E-0009 0.321297E-0009 -.159290E-0007 0.159290E-0007 -.692929E-0009 -.692929E-0009 0.187018E-0006 -.187018E-0006 0.259666E-0009 -.259666E-0009
 -.990750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999586E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999586E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.897394E-0019 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.486554E-0005 -.486554E-0005 0.529499E-0006 0.529499E-0006 0.105520E-0005 -.105520E-0005 0.349862E-0007 -.349862E-0007 0.161833E-0005 0.161833E-0005 -.498630E-0007 -.498630E-0007 0.174576E-0007 0.174576E-0007 0.808635E-0008 -.808635E-0008 -.362948E-0007 0.362948E-0007 0.105511E-0005 0.105511E-0005 0.583322E-0007 0.583322E-0007 -.396495E-0009 0.396495E-0009 -.194531E-0007 0.194531E-0007 -.822699E-0009 -.822699E-0009 0.207297E-0006 -.207297E-0006 0.289935E-0009 -.289935E-0009
 -.990250E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999566E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999566E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.173516E-0018 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.534530E-0005 -.534530E-0005 0.581232E-0006 0.581232E-0006 0.115815E-0005 -.115815E-0005 0.396622E-0007 -.396622E-0007 0.177673E-0005 0.177673E-0005 -.547842E-0007 -.547842E-0007 0.204639E-0007 0.204639E-0007 0.885373E-0008 -.885373E-0008 -.417360E-0007 0.417360E-0007 0.115838E-0005 0.115838E-0005 0.670553E-0007 0.670553E-0007 -.486538E-0009 0.486538E-0009 -.235577E-0007 0.235577E-0007 -.105366E-0008 -.105366E-0008 0.228467E-0006 -.228467E-0006 0.310010E-0009 -.310010E-0009
 -.989750E+0000 0.100000E+0001 0.100000E+0001 0.228571E+0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999546E+0000 0.228571E-0001 0.102698E+0001 0.000000E+0000 0.000000E+0000 0.237500E+0001 -.999546E+0000 0.141421E+0001 0.000000E+0000 0.000000E+0000 0.327085E-0018 0.000000E+0000 0.000000E+0000 0.000000E+0000 0.000000E+0000 -.584200E-0005 -.584200E-0005 0.634610E-0006 0.634610E-0006 0.126457E-0005 -.126457E-0005 0.446644E-0007 -.446644E-0007 0.194022E-0005 0.194022E-0005 -.598788E-0007 -.598788E-0007 0.238659E-0007 0.238659E-0007 0.963965E-0008 -.963965E-0008 -.477064E-0007 0.477064E-0007 0.126528E-0005 0.126528E-0005 0.766276E-0007 0.766276E-0007 -.591620E-0009 0.591620E-0009 -.282970E-0007 0.282970E-0007 -.154618E-0008 -.154618E-0008 0.250542E-0006 -.250542E-0006 0.309336E-0009 -.309336E-0009
